"Carimbo de data/hora","1. Qual perfil melhor descreve você?","2. Você já utilizou algum sistema para registrar problemas da sua cidade?","3. Caso sim, como você avalia sua experiência?","4. Quais tipos de incidentes você considera mais importantes de serem reportados?","5. Você considera importante visualizar dados em gráficos e dashboards?","6. Você considera importante acompanhar o status de um incidente registrado?","7. Quais funcionalidades você considera essenciais em um sistema como o Fala Cidade?","8. Qual a sua principal dificuldade ao utilizar serviços públicos digitais?","9. Você utilizaria um aplicativo para registrar incidentes na sua cidade?","10. O que você gostaria que um sistema como este tivesse para melhorar sua experiência?","11. Você acha importante que a prefeitura responda ou dê retorno ao cidadão?"
"2026/05/04 10:04:26 PM GMT-3","Cidadão","Não","Nunca utilizei","Buracos em vias;Lixo/acúmulo de resíduos;Segurança","Sim","Sim","Registro com fotos;Localização no mapa;Histórico de incidentes","Identificar qual serviço usar","Sim","Localização ","Não"
"2026/05/04 10:13:13 PM GMT-3","Servidor público","Sim","Regular","Buracos em vias;Lixo/acúmulo de resíduos;Segurança","Sim","Sim","Registro com fotos;Localização no mapa","Disponibilidade","Sim","Fotos e localização","Não"
"2026/05/04 10:14:34 PM GMT-3","Cidadão","Não","Nunca utilizei","Buracos em vias;Iluminação pública;Lixo/acúmulo de resíduos;Segurança","Sim","Sim","Registro com fotos;Localização no mapa;Acompanhamento do status;Notificações;Histórico de incidentes","Normalmente gravam muito ou são mal feitos ","Sim","Que fosse bem claro","Sim"
"2026/05/04 10:14:52 PM GMT-3","Cidadão","Não","","Buracos em vias;Iluminação pública;Lixo/acúmulo de resíduos","Sim","Sim","Registro com fotos;Localização no mapa;Histórico de incidentes","Sistema lento e interface difícil ","Sim","localização em mapa para não precisar ficar preenchendo sempre ","Sim"
"2026/05/04 10:16:30 PM GMT-3","Gestor público","Sim","Boa","Buracos em vias;Lixo/acúmulo de resíduos","Sim","Não","Registro com fotos;Histórico de incidentes","Sistemas lentos","Sim","Velocidade e simplicidade","Não"
"2026/05/04 10:21:48 PM GMT-3","Servidor público","Não","Nunca utilizei","Buracos em vias;Iluminação pública;Lixo/acúmulo de resíduos;Segurança","Sim","Sim","Registro com fotos;Localização no mapa;Acompanhamento do status;Notificações;Histórico de incidentes","Nao tenho dificuldades.","Sim","Uso simples e intuitivo.","Sim"
"2026/05/05 7:14:00 AM GMT-3","Cidadão","Não","Nunca utilizei","Segurança","Sim","Sim","Acompanhamento do status","Burocracia ","Sim","Atualização de status ","Sim"
"2026/06/23 1:57:03 PM GMT-3","Cidadão","Não","Nunca utilizei","Buracos em vias;Iluminação pública;Lixo/acúmulo de resíduos;Segurança","Sim","Sim","Registro com fotos;Localização no mapa;Acompanhamento do status","Prefeitura não liga pra algumas coisas","Não","Tivesse retorno nas coisas pedidas","Sim"
"2026/06/23 2:03:09 PM GMT-3","Servidor público","Não","","Segurança;Educação e Saúde ","Sim","Sim","Acompanhamento do status","Dificuldade de informações ","Talvez","Que fosse acessível e didático ","Sim"
"2026/06/23 2:29:28 PM GMT-3","Cidadão","Não","","Buracos em vias;Iluminação pública;Segurança","Sim","Sim","Registro com fotos;Localização no mapa;Notificações;Histórico de incidentes","Facilidade","Não","Poder cobrar","Sim"
"2026/06/23 3:43:01 PM GMT-3","Servidor público","Não","Nunca utilizei","Lixo/acúmulo de resíduos;Terrenos abandonados (para fiscalização sanitária, ambiental e de posturas), infrações e danos contra o meio ambiente ou o patrimônio cultural, falta de acessibilidade em espaços e prédios públicos, prestação irregular ou ineficiente de serviços públicos (próprios ou concedidos), uso irregular do patrimônio público, irregularidades e riscos em obras particulares, necessidades de ajustes no trânsito e monitoramento de impacto de vizinhança gerado por atividades econômicas.","Sim","Sim","Localização no mapa;Acompanhamento do status;Notificações","No caso da Prefeitura, impossibilidade de acesso digital a procedimentos simples e básicos, como atualização de endereço de correspondência para carnê de IPTU.","Sim","Protocolo digital, acompanhamento de status pela internet, resposta por escrito em meio eletrônico e com notificação do solicitante, parametrização e cumprimento de prazos conforme as legislações sobre acesso à informação e serviços de ouvidoria, linguagem simples, recursos de acessibilidade e avaliação do sistema pelo usuário, com produção de estatísticas públicas e indicadores transparentes a respeito desses serviços.","Sim"
"2026/06/23 4:52:05 PM GMT-3","Cidadão","Sim","Regular","Buracos em vias;Iluminação pública;Lixo/acúmulo de resíduos;Segurança","Sim","Sim","Registro com fotos;Localização no mapa;Acompanhamento do status;Notificações;Histórico de incidentes","Nenhum, acho que hoje é fundamental.","Sim","Acompanhamento da reclamação e retorno efetivo","Sim"
"2026/06/23 5:52:24 PM GMT-3","Servidor público","Não","Nunca utilizei","Buracos em vias","Sim","Sim","Acompanhamento do status","Interface complicada.","Não","Facilidade de acesso","Sim"
"2026/06/23 5:53:40 PM GMT-3","Servidor público","Não","Nunca utilizei","Buracos em vias;Iluminação pública;Lixo/acúmulo de resíduos;Segurança","Sim","Sim","Registro com fotos;Localização no mapa;Acompanhamento do status;Notificações;Histórico de incidentes","Não dão retorno! ","Talvez","Dar o retorno! ","Sim"
"2026/06/24 8:57:41 AM GMT-3","Cidadão","Não","Nunca utilizei","Segurança","Sim","Sim","Acompanhamento do status;Notificações","Sem dificuldade. ","Sim","O sistema teria que ter o registro dos problemas, o acompanhamento por parte do usuário e o retorno do poder público.","Sim"
"2026/06/24 9:27:51 AM GMT-3","Servidor público","Não","Nunca utilizei","Lixo/acúmulo de resíduos;Segurança","Sim","Sim","Registro com fotos;Localização no mapa;Acompanhamento do status;Notificações","Falta de resposta, não há transparência.","Sim","Respostas das demandas ou previsão de solução da demanda apresentada ","Sim"
"2026/06/24 11:52:28 AM GMT-3","Cidadão","Não","Nunca utilizei","Buracos em vias;Iluminação pública;Lixo/acúmulo de resíduos;Segurança","Sim","Sim","Registro com fotos;Localização no mapa;Acompanhamento do status;Notificações;Histórico de incidentes","Nunca utilizei ","Sim","Atualização de status","Sim"
"2026/06/24 3:04:56 PM GMT-3","Servidor público","Não","Nunca utilizei","Buracos em vias","Sim","Sim","Histórico de incidentes","Dificuldade de acessar a internet.","Não","

Mais informações sobre o sistema.","Sim"
